TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Distractor1,Distractor2,Distractor3,Distractor4,Distractor5,Distractor6,Distractor7,Distractor8,Distractor9,Distractor10,Distractor11,Distractor12,Distractor13,Distractor14,Distractor15,Distractor16,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,error1,error2,error3,error4,error5,error6,error7,error8,error9,error10,error11,error12,error13,error14,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,error15,error16,error17,error18,error19,error20,error21,error22,error23,error24,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.027889799996046,None,space,1.2444500000128755,22.027889799996046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,tent,Did you see the tent?,0.2,0.016,JPG\,lamp04a,broccoli01a,umbrella04,garlic01a,staples,tent,blender,ring01,leaf02a,cellphone,medal02b,cd,None,None,None,None,None,tent,lamp04a,broccoli01a,umbrella04,garlic01a,staples,earrings01,avocado01,ring01,leaf02a,cellphone,medal02b,cd,calculator01,sunglasses04,strawberry,eraser,0,0,0,92,,,,,,,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,26.645126799994614,27.647296399998595,27.630785799992736,28.405864999993355,28.405864999993355,None,29.564283200001228,None,right,0.8073449000075925,29.564283200001228,None,30.39716490000137,None,left,0.07314110000152141,30.39716490000137,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,giraffe,Did you see the giraffe?,0.2,0.016,JPG\,pencil01,condom,banana01,lipstick02a,toaster01,grape01,key01,giraffe,blender,pineapple01a,strawberry,teabag,staples,paintbrush01,None,None,None,giraffe,pencil01,condom,banana01,lipstick02a,toaster01,grape01,key01,medal02b,mushroom01,pineapple01a,strawberry,teabag,staples,paintbrush01,brick,sewingmachine01a,0,1,1,0,,,,,,,,,,,,,,,,,,,,,30.506638599996222,31.51409369999601,31.497487599990563,32.13200369999686,32.13200369999686,None,33.26876409999386,None,right,0.5149969000049168,33.26876409999386,None,33.81369989999803,None,left,0.07070070000190753,33.81369989999803,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1A_T2P,5,A,P,5,10,4,5,15,None,Did you see the ?,0.2,0.016,JPG\,measuringcup01,dice05a,greenolive,lipstick02a,feather03a,balloon01b,lighter01,calculator01,carrot01,blender,microscope,brick,thermometer02b,screw02,speaker04,None,None,None,measuringcup01,dice05a,greenolive,lipstick02a,feather03a,balloon01b,lighter01,calculator01,carrot01,plate01b,microscope,brick,thermometer02b,screw02,speaker04,spoon01,0,2,2,437,,,,,,,,,,,,,,,,,,,,,33.91370079999615,34.914068700003554,34.897459599989816,35.529206799998065,35.529206799998065,None,36.60233090000111,None,right,0.4344658000045456,36.60233090000111,None,37.06381099999999,None,left,0.05175060000328813,37.06381099999999,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1A_T2P,1,A,P,7,8,6,3,11,None,Did you see the ?,0.2,0.016,JPG\,lipstick02a,cucumber,candle08b,printer02,grape01,violin,paintbrush01,blender,belt02a,balloon01b,thermometer02b,None,None,None,None,None,None,None,lipstick02a,cucumber,candle08b,printer02,grape01,violin,paintbrush01,lighter01,belt02a,balloon01b,thermometer02b,microscope,cigarette,book01b,pineapple01a,speaker04,0,3,3,395,,,,,,,,,,,,,,,,,,,,,37.147065099998144,38.1470677999896,38.13039789999311,38.74494429999322,38.74494429999322,None,39.85032709999359,None,right,0.46389120000822004,39.85032709999359,None,40.34688070000266,None,left,0.042929700008244254,40.34688070000266,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2A,1,P,A,7,8,6,4,12,gate,Did you see the gate?,0.2,0.016,JPG\,pen04b,speaker04,lighter01,cherry01,stapler03a,onion,entrancegate,toothbrush03b,broom01,sewingmachine01a,book01b,iron01b,None,None,None,None,None,entrancegate,pen04b,speaker04,lighter01,cherry01,stapler03a,onion,sock01a,toothbrush03b,broom01,sewingmachine01a,book01b,iron01b,clock01a,sandal,cd,blueberry01,0,4,4,278,,,,,,,,,,,,,,,,,,,,,40.41360679999343,41.41370140000072,41.39705749999848,42.0198226999928,42.0198226999928,None,43.128968999997596,None,right,0.458218300002045,43.128968999997596,None,43.613885899991146,None,left,0.042715199990198016,43.613885899991146,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1A_T2A,1,A,A,8,9,7,4,13,None,Did you see the ?,0.2,0.016,JPG\,pizza,strawberry,potato02b,speaker04,battery02b,iron01b,dice05a,cellphone,globe,banana01,medal02b,baseball01a,toaster01,None,None,None,None,None,pizza,strawberry,potato02b,speaker04,battery02b,iron01b,dice05a,cellphone,globe,banana01,medal02b,baseball01a,toaster01,broom01,ring01,cherry01,0,5,5,449,,,,,,,,,,,,,,,,,,,,,43.73836719999963,44.74692789999244,44.730285199999344,45.37180700000317,45.37180700000317,None,46.472721099999035,None,right,0.5014561999996658,46.472721099999035,None,46.99692559998948,None,left,0.03400020000117365,46.99692559998948,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,4,11,Tricycle,Did you see the Tricycle?,0.2,0.016,JPG\,candy,earrings01,dice05a,cd,sock01a,tricycle,blender,potato02b,feather03a,grape01,staples,None,None,None,None,None,None,tricycle,candy,earrings01,dice05a,cd,sock01a,blueberry01,button01,potato02b,feather03a,grape01,staples,scissors01,watch02a,candle08b,book01b,globe,0,6,6,94,,,,,,,,,,,,,,,,,,,,,47.06343259999994,48.06353630000376,48.06353630000376,49.08663869999873,49.08663869999873,None,50.13038210000377,None,right,0.21675669999967795,50.13038210000377,None,50.36361469999247,None,left,0.06351780000841245,50.36361469999247,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2A,5,P,A,7,12,6,5,17,stairs,Did you see the stairs?,0.2,0.016,JPG\,key01,apple07,ring01,leaf02a,hammer01,tableknife02,stairs,sponge01,baseball01a,thermometer02b,celery,calculator01,grape01,cucumber,tennisball01b,chain01,0,stairs,key01,apple07,ring01,leaf02a,hammer01,tableknife02,violin,sponge01,baseball01a,thermometer02b,celery,calculator01,grape01,cucumber,tennisball01b,chain01,0,7,7,350,,,,,,,,,,,,,,,,,,,,,50.44680140000128,51.44696249999106,51.44696249999106,52.068047099994146,52.068047099994146,None,53.18980989999545,54.19673399999738,right,1.158513899994432,53.18980989999545,None,54.38017609999224,None,left,0.05587740000919439,54.38017609999224,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,3,11,Moose,Did you see the Moose?,0.2,0.016,JPG\,sock01a,spoon01,umbrella04,comb02a,printer02,medal02b,moose,blender,greenolive,computerkeyboard02,cauliflower01,None,None,None,None,None,None,moose,sock01a,spoon01,umbrella04,comb02a,printer02,medal02b,lamp04a,bagel,greenolive,computerkeyboard02,cauliflower01,scarf,teabag,watermelon01,battery02b,potato02b,0,8,8,67,,,,,,,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,54.48350629999186,55.496761100002914,55.48014059998968,56.106839799991576,56.106839799991576,None,57.24124299999676,None,right,0.4782081000012113,57.24124299999676,None,57.74711280000338,None,left,0.04319290000421461,57.74711280000338,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2A,5,P,A,7,12,6,5,17,corn,Did you see the corn?,0.2,0.016,JPG\,avocado01,stapler03a,match,cauliflower01,paintbrush01,clock01a,corn02,cd,balloon01b,cellphone,watch02a,pear01,toaster01,sponge01,orange,blueberry01,0,corn02,avocado01,stapler03a,match,cauliflower01,paintbrush01,clock01a,ruler05,cd,balloon01b,cellphone,watch02a,pear01,toaster01,sponge01,orange,blueberry01,0,9,9,317,,,,,,,,,,,,,,,,,,,,,57.81763249999494,58.83043319999706,58.813702500003274,59.436964499996975,59.436964499996975,None,60.53850959999545,61.54692789999535,right,1.5182710999943083,60.53850959999545,None,62.080329000003985,None,left,0.14517060000798665,62.080329000003985,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,Waterfall,Did you see the Waterfall?,0.2,0.016,JPG\,pizza,watch02a,greenolive,cucumber,match,violin,scissors01,waterfall,blender,cherry01,ring01,cigarette,microscope,cellphone,None,None,None,waterfall,pizza,watch02a,greenolive,cucumber,match,violin,scissors01,broom01,globe,cherry01,ring01,cigarette,microscope,cellphone,speaker04,onion,0,10,10,52,,,,,,,,,,,,,,,,,,,,,62.25482309999643,63.26340579999669,63.246685699996306,63.88403129999642,63.88403129999642,None,64.97405489999801,None,right,0.808510800008662,64.97405489999801,None,65.81369209999684,None,left,0.05214259999047499,65.81369209999684,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1A_T2A,1,A,A,5,6,4,4,10,None,Did you see the ?,0.2,0.016,JPG\,sock01a,spoon01,umbrella04,comb02a,printer02,medal02b,lamp04a,bagel,greenolive,computerkeyboard02,None,None,None,None,None,None,None,None,sock01a,spoon01,umbrella04,comb02a,printer02,medal02b,lamp04a,bagel,greenolive,computerkeyboard02,cauliflower01,scarf,teabag,watermelon01,battery02b,potato02b,0,11,11,447,,,,,,,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,,,,,,65.90225980000105,66.91329139999289,66.8967518999998,67.52193689999694,67.52193689999694,None,68.52655880000384,None,right,0.6560792000091169,68.52655880000384,None,69.21320889999333,None,left,0.047397399990586564,69.21320889999333,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,3,9,Rubik cube,Did you see the Rubik cube?,0.2,0.016,JPG\,chain01,speaker04,avocado01,watermelon01,rubikcube,blender,lamp04a,fork03c,toaster01,None,None,None,None,None,None,None,None,rubikcube,chain01,speaker04,avocado01,watermelon01,scarf,comb02a,lamp04a,fork03c,toaster01,stapler03a,scissors01,cucumber,teabag,ashtray01,computerkeyboard02,book01b,0,12,12,95,,,,,,,,,,,,,,,,,,,,,69.3226350999903,70.32993739999074,70.31330500000331,70.92699369999173,70.92699369999173,None,71.9299064999941,None,right,0.4771783000032883,71.9299064999941,None,72.4298698999919,None,left,0.07802829999127425,72.4298698999919,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,3,11,compass,Did you see the compass?,0.2,0.016,JPG\,brick,plate01b,pen04b,toaster01,screwdriver04b,candle01,magneticcompass,blender,ruler05,ring01,orange,None,None,None,None,None,None,magneticcompass,brick,plate01b,pen04b,toaster01,screwdriver04b,candle01,envelope03a,feather03a,ruler05,ring01,orange,clock01a,lighter01,calculator01,mushroom01,chain01,0,13,13,66,,,,,,,,,,,,,,,,,,,,,72.54253690000041,73.54668630000378,73.53012789999775,74.15866109999479,74.15866109999479,None,75.25141099999018,None,right,0.36536460000206716,75.25141099999018,None,75.64678739999363,None,left,0.07094780000625178,75.64678739999363,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2P,5,P,P,6,11,5,5,16,motorcycle,Did you see the motorcycle?,0.2,0.016,JPG\,cucumber,ring01,lipstick02a,microscope,violin,motorcycle,celery,lighter01,cherry01,sewingmachine01a,blender,key01,binoculars01b,medal02b,watermelon01,dice05a,None,motorcycle,cucumber,ring01,lipstick02a,microscope,violin,garlic01a,celery,lighter01,cherry01,sewingmachine01a,belt02a,key01,binoculars01b,medal02b,watermelon01,dice05a,0,14,14,138,,,,,,,,,,,,,,,,,,,,,75.75115299999015,76.7633186000021,76.74681159999454,77.36191449999751,77.36191449999751,None,78.58739950000017,None,right,0.5401173999998719,78.58739950000017,None,79.14633669999603,None,left,0.10272950000944547,79.14633669999603,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1A_T2P,1,A,P,6,7,5,5,12,None,Did you see the ?,0.2,0.016,JPG\,shirt02,match,screw02,condom,blueberry01,pineapple01a,blender,watch02a,button01,comb02a,dice05a,measuringcup01,None,None,None,None,None,None,shirt02,match,screw02,condom,blueberry01,pineapple01a,sewingmachine01a,watch02a,button01,comb02a,dice05a,measuringcup01,lipstick02a,printer02,carrot01,watermelon01,0,15,15,389,,,,,,,,,,,,,,,,,,,,,79.28991300000052,80.29657029999362,80.27995339999325,80.91116350000084,80.91116350000084,None,81.99860629999603,83.01303419999022,right,1.5126118999905884,81.99860629999603,None,83.52969219999795,None,left,0.0631541000038851,83.52969219999795,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,3,9,seal,Did you see the seal?,0.2,0.016,JPG\,watermelon01,banana01,ring01,pencil01,seal,blender,cucumber,thermometer02b,key01,None,None,None,None,None,None,None,None,seal,watermelon01,banana01,ring01,pencil01,tomato01,speaker04,cucumber,thermometer02b,key01,condom,violin,spoon01,clock04,dice05a,pen04b,mushroom01,0,16,16,116,,,,,,,,,,,,,,,,,,,,,83.61432100000093,84.62972050000099,84.61301309999544,85.23406740000064,85.23406740000064,None,86.24630980000074,None,right,0.5080044999922393,86.24630980000074,None,86.77973699998984,None,left,0.09952310001244769,86.77973699998984,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,3,13,xylophone,Did you see the xylophone?,0.2,0.016,JPG\,printer02,leaf02a,cauliflower01,sock01a,xylophone,paintbrush01,ruler05,orange,belt02a,blender,key01,match,cigarette,None,None,None,None,xylophone,printer02,leaf02a,cauliflower01,sock01a,earrings01,paintbrush01,ruler05,orange,belt02a,shirt02,key01,match,cigarette,scissors01,envelope03a,blueberry01,0,17,17,228,,,,,,,,,,,,,,,,,,,,,86.89950109999336,87.91291430000274,87.89632129999518,88.52246829999785,88.52246829999785,None,89.60580469999695,None,right,0.5029919000080554,89.60580469999695,None,90.12955399999919,None,left,0.0788005000067642,90.12955399999919,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,nose,Did you see the nose?,0.2,0.016,JPG\,scissors01,balloon01b,eraser,feather03a,banana01,nose,blender,calculator01,thermometer02b,strawberry,pear01,carrot01,None,None,None,None,None,nose,scissors01,balloon01b,eraser,feather03a,banana01,candle01,measuringcup01,calculator01,thermometer02b,strawberry,pear01,carrot01,globe,baseball01a,leaf02a,spoon01,0,18,18,112,,,,,,,,,,,,,,,,,,,,,90.23184480000054,91.24626939999871,91.22956330000306,91.86338629999955,91.86338629999955,None,92.87583959999029,None,right,0.7190768000000389,92.87583959999029,None,93.61292359999788,None,left,0.09285190000082366,93.61292359999788,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1A_T2A,5,A,A,7,12,6,4,16,None,Did you see the ?,0.2,0.016,JPG\,rice,watermelon01,tableknife02,scarf,computerkeyboard02,cauliflower01,battery02b,binoculars01b,book01b,sandal,sponge01,microscope,tomato01,fork03c,thermometer02b,apple07,None,None,rice,watermelon01,tableknife02,scarf,computerkeyboard02,cauliflower01,battery02b,binoculars01b,book01b,sandal,sponge01,microscope,tomato01,fork03c,thermometer02b,apple07,0,19,19,460,,,,,,,,,,,,,,,,,,,,,93.72950519999722,94.72979389999819,94.71322579999105,95.33217850000074,95.33217850000074,None,96.36224580000271,None,right,0.52194910000253,96.36224580000271,None,96.91303789999802,None,left,0.07897800000500865,96.91303789999802,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2A,5,P,A,7,12,6,3,15,helmet,Did you see the helmet?,0.2,0.016,JPG\,fork03c,belt02a,grape01,computerkeyboard02,lemon02,printer02,skihelmet01,toiletpaper01a,toaster01,lipstick02a,book01b,blueberry01,spoon01,apple07,avocado01,None,None,skihelmet01,fork03c,belt02a,grape01,computerkeyboard02,lemon02,printer02,broom01,toiletpaper01a,toaster01,lipstick02a,book01b,blueberry01,spoon01,apple07,avocado01,greenolive,0,20,20,332,,,,,,,,,,,,,,,,,,,,,97.0226462999999,98.02967190000345,98.01318670000182,98.61810179999156,98.61810179999156,None,99.7020549000008,None,right,0.4822673000016948,99.7020549000008,None,100.21278989998973,None,left,0.09244379999290686,100.21278989998973,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,4,14,Ice cube,Did you see the Ice cube?,0.2,0.016,JPG\,cigarette,fork03c,greenolive,broccoli01a,icecube02,tennisball01b,balloon01b,leaf02a,ruler05,blender,clock01a,strawberry,envelope03a,bowl02a,None,None,None,icecube02,cigarette,fork03c,greenolive,broccoli01a,avocado01,tennisball01b,balloon01b,leaf02a,ruler05,fan,clock01a,strawberry,envelope03a,bowl02a,teabag,medal02b,0,21,21,235,,,,,,,,,,,,,,,,,,,,,100.3293052999943,101.32943579999846,101.31285299999581,101.91267869999865,101.91267869999865,None,102.93265190000238,None,right,0.5415421000070637,102.93265190000238,None,103.49606350000249,None,left,0.08509849999973085,103.49606350000249,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,3,10,spider web,Did you see the spider web?,0.2,0.016,JPG\,toaster01,chain01,sponge01,baseball01a,carrot01,spiderweb,blender,iron01b,grape01,brick,None,None,None,None,None,None,None,spiderweb,toaster01,chain01,sponge01,baseball01a,carrot01,belt02a,book01b,iron01b,grape01,brick,celery,onion,mushroom01,toothbrush03b,lipstick02a,screw02,0,22,22,72,,,,,,,,,,,,,,,,,,,,,103.61689779999142,104.62938610000128,104.61274199999752,105.23624859999109,105.23624859999109,None,106.32506039999134,107.3291082999931,right,1.1182425000006333,106.32506039999134,None,107.46247969999968,None,left,0.08045550000679214,107.46247969999968,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2A,5,P,A,7,12,6,4,16,Bear,Did you see the Bear?,0.2,0.016,JPG\,comb02a,key01,medal02b,battery02b,lighter01,microscope,grizzly,sandal,ruler05,cellphone,computerkeyboard02,calculator01,bagel,clock04,cucumber,avocado01,None,grizzly,comb02a,key01,medal02b,battery02b,lighter01,microscope,watermelon01,sandal,ruler05,cellphone,computerkeyboard02,calculator01,bagel,clock04,cucumber,avocado01,0,23,23,320,,,,,,,,,,,,,,,,,,,,,107.61358569998993,108.61284709999745,108.61284709999745,109.33372919999238,109.33372919999238,None,110.36069059999136,None,right,0.6851732999930391,110.36069059999136,None,111.06288699999277,None,left,0.07849140001053456,111.06288699999277,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1A_T2A,1,A,A,7,8,6,5,13,None,Did you see the ?,0.2,0.016,JPG\,thermometer02b,candle08b,comb02a,toothbrush03b,brick,computerkeyboard02,key01,pineapple01a,candy,bowl02a,clock04,stapler03a,teabag,None,None,None,None,None,thermometer02b,candle08b,comb02a,toothbrush03b,brick,computerkeyboard02,key01,pineapple01a,candy,bowl02a,clock04,stapler03a,teabag,medal02b,balloon01b,banana01,0,24,24,450,,,,,,,,,,,,,,,,,,,,,111.1625808999961,112.16259189999255,112.14593679999234,112.76496689999476,112.76496689999476,None,113.8302357999928,114.82923580000352,right,1.147144800008391,113.8302357999928,None,114.99591859999055,None,left,0.07293779999599792,114.99591859999055,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1A_T2P,5,A,P,6,11,5,5,16,None,Did you see the ?,0.2,0.016,JPG\,avocado01,stapler03a,match,cauliflower01,paintbrush01,clock01a,ruler05,cd,balloon01b,cellphone,blender,pear01,toaster01,sponge01,orange,blueberry01,None,None,avocado01,stapler03a,match,cauliflower01,paintbrush01,clock01a,ruler05,cd,balloon01b,cellphone,watch02a,pear01,toaster01,sponge01,orange,blueberry01,0,25,25,412,,,,,,,,,,,,,,,,,,,,,115.10456659999909,116.11257420000038,116.07919140000013,116.71353290000116,116.71353290000116,None,117.71460300000035,None,right,0.6613791999989189,117.71460300000035,None,118.39587729999039,None,left,0.06875469999795314,118.39587729999039,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2A,1,P,A,5,6,4,4,10,flower,Did you see the flower?,0.2,0.016,JPG\,broom01,globe,cellphone,tableknife02,daffodil,scissors01,ring01,umbrella04,rice,toaster01,None,None,None,None,None,None,None,daffodil,broom01,globe,cellphone,tableknife02,cauliflower01,scissors01,ring01,umbrella04,rice,toaster01,cigarette,grape01,microscope,cucumber,lamp04a,brick,0,26,26,275,,,,,,,,,,,,,,,,,,,,,118.49776879999263,119.51255050000327,119.49581639999815,120.1142814999912,120.1142814999912,None,121.22829189999902,None,right,0.5268313999986276,121.22829189999902,None,121.77916779999214,None,left,0.05968270001176279,121.77916779999214,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2P,5,P,P,8,13,7,3,16,mask,Did you see the mask?,0.2,0.016,JPG\,measuringcup01,dice05a,greenolive,lipstick02a,feather03a,balloon01b,lighter01,masquerademask01,carrot01,plate01b,microscope,brick,blender,screw02,speaker04,spoon01,None,masquerademask01,measuringcup01,dice05a,greenolive,lipstick02a,feather03a,balloon01b,lighter01,calculator01,carrot01,plate01b,microscope,brick,thermometer02b,screw02,speaker04,spoon01,0,27,27,247,,,,,,,,,,,,,,,,,,,,,121.86242649999622,122.86229009999079,122.84570669999812,123.47696169999836,123.47696169999836,None,124.553619600003,None,right,0.44059900000866037,124.553619600003,None,125.01244379999116,None,left,0.06883659999584779,125.01244379999116,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,Ipad,Did you see the Ipad?,0.2,0.016,JPG\,fork03c,toothbrush03b,cellphone,fan,ipad02,clock01a,ring01,eraser,sunglasses04,blender,violin,earrings01,blueberry01,pear01,pencil01,None,None,ipad02,fork03c,toothbrush03b,cellphone,fan,candle08b,clock01a,ring01,eraser,sunglasses04,thermometer02b,violin,earrings01,blueberry01,pear01,pencil01,key01,0,28,28,197,,,,,,,,,,,,,,,,,,,,,125.11586910000187,126.12937059999967,126.11259340000106,126.7164036000031,126.7164036000031,None,127.80935899999167,None,right,0.6157667000079527,127.80935899999167,None,128.4456918999931,None,left,0.051293700002133846,128.4456918999931,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2A,1,P,A,5,6,4,5,11,panda,Did you see the panda?,0.2,0.016,JPG\,iron01b,orange,bowl02a,potato02b,panda,pencil01,key01,candle08b,celery,tableknife02,pen04b,None,None,None,None,None,None,panda,iron01b,orange,bowl02a,potato02b,cauliflower01,pencil01,key01,candle08b,celery,tableknife02,pen04b,belt02a,ring01,rice,lemon02,tomato01,0,29,29,303,,,,,,,resources\JPG\bowl02a.jpg,resources\JPG\bowl02a.jpg,resources\JPG\bowl02a.jpg,resources\JPG\bowl02a.jpg,resources\JPG\bowl02a.jpg,resources\JPG\bowl02a.jpg,resources\JPG\bowl02a.jpg,resources\JPG\bowl02a.jpg,,,,,,,128.529011599996,129.52898679999635,129.51230829999258,130.1252802999952,130.1252802999952,None,131.23513040000398,None,right,0.5407542000029935,131.23513040000398,None,131.79565569999977,None,left,0.048415299999760464,131.79565569999977,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,4,12,beer bottle,Did you see the beer bottle?,0.2,0.016,JPG\,toaster01,scarf,toiletpaper01a,calculator01,violin,sewingmachine01a,beerbottle,blender,strawberry,balloon01b,earrings01,eraser,None,None,None,None,None,beerbottle,toaster01,scarf,toiletpaper01a,calculator01,violin,sewingmachine01a,fan,teabag,strawberry,balloon01b,earrings01,eraser,lemon02,rice,ring01,shirt02,0,30,30,97,,,,,,,,,,,,,,,,,,,,,131.86604880000232,132.87917719999678,132.8626430000004,133.4831806000002,133.4831806000002,None,134.53875219999463,None,right,0.5024114999978337,134.53875219999463,None,135.0622008999926,None,left,0.0615381000097841,135.0622008999926,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
