TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Practice_Trials.thisRepN,Practice_Trials.thisTrialN,Practice_Trials.thisN,Practice_Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Practice_Ins.started,Practice_Ins.stopped,End_Prac_Ins.keys,End_Prac_Ins.rt,End_Prac_Ins.started,End_Prac_Ins.stopped,text_2.started,text_2.stopped,Fixation_Cross_2.started,Fixation_Cross_2.stopped,Rapid_Image_Present_2.started,Rapid_Image_Present_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,T1Response_2.started,T1Response_2.stopped,T2Response_2.started,T2Response_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,missingImage,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.940966200025287,None,space,0.36818229997879826,23.940966200025287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,Tennis racket,Did you see the Tennis racket?,0.5,0.016,JPG\,coconut,computermouse06,croissant01,deodorant02a,pillow01a,peanut01,boot02b,tennisracket,blender,crayon,eggplant,marker01a,plant01,radish01,blankImage,blankImage,blankImage,tennisracket,0,0,0,0,,,,,,,,,,,24.398497100017266,25.40177410002798,25.385002000024542,26.181800300022587,26.181800300022587,None,right,0.4546791999891866,33.187550100003136,None,33.187550100003136,None,33.66825070002233,None,right,0.18154779996257275,33.66825070002233,None,,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,triangle,Did you see the triangle?,0.5,0.016,JPG\,ginger,mousetrap,plum01,slipper01b,coffeebeans,triangle,blender,pants,raspberry01,rope03,scale01a,vase01,blankImage,blankImage,blankImage,blankImage,blankImage,triangle,0,1,1,1,,,,,,,,,,,33.88012000001618,34.88478080002824,34.86820590001298,35.51427490002243,35.51427490002243,None,right,0.3867845999484416,41.528322600002866,None,41.528322600002866,None,41.9345971000148,None,right,0.15707669997937046,41.9345971000148,None,resources\JPG\coffeebeans.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
AB,Lag5_T1P_T2P,5,P,P,7,12,6,3,15,vacuum,Did you see the vacuum?,0.5,0.016,JPG\,fork07b,lightbulb01,manshoe,saw02b,shoelace,soap03a,vacuumcleaner01,floortile01,necklace,doll,cabbage,blender,hanger02a,laptop01a,nailpolish03b,blankImage,blankImage,vacuumcleaner01,0,2,2,2,,,,,,,,,,,42.13117640002747,43.13441700002295,43.11786720002419,43.73857570000109,43.73857570000109,None,right,0.39470879995496944,51.31434910002281,None,51.31434910002281,None,51.73498190002283,None,right,0.15231239999411628,51.73498190002283,None,,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,Vulture,Did you see the Vulture?,0.5,0.016,JPG\,shorts01,toast,ramekin01,bib,vulture,cracker02,date,glasses01a,hat03b,blender,measuringtape01,nail,pill,brie,starfish01,blankImage,blankImage,vulture,0,3,3,3,,,,,,,,,,,51.92236039999989,52.934649600007106,52.91789330000756,53.56037099999958,53.56037099999958,None,right,0.3461492999922484,61.06640090001747,None,61.06640090001747,None,61.43449040001724,None,right,0.18627209996338934,61.43449040001724,None,resources\JPG\brie.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,washing machine,Did you see the washing machine?,0.5,0.016,JPG\,waterbottle03,wheel01,flashlight02b,zucchini01,washingmachine,headphones02b,nutcracker01,paintroller01,paperclip03,blender,ribbon04,tambourine01,bottleofredwine01,pitabread,pot02a,blankImage,blankImage,washingmachine,0,4,4,4,,,,,,,,,,,61.66132890002336,62.66783510000096,62.65116070001386,63.267375499999616,63.267375499999616,None,right,0.42399709997698665,70.87511600001017,None,70.87511600001017,None,71.31748310002149,None,right,0.24420209997333586,71.31748310002149,None,resources\JPG\tambourine01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
AB,Lag1_T1P_T2A,1,P,A,8,9,7,5,14,flower,Did you see the flower?,0.5,0.016,JPG\,razor01,axe01,binder03b,bowl01,kettle01,lettuce,lime,plasticflower01b,mitten04,pencilcase,plunger02,strawbasket01,toothpick02,wallet02a,blankImage,blankImage,blankImage,plasticflower01b,0,5,5,5,,,,,,,,,,,71.59412630001316,72.60073090001242,72.58399650000501,73.19476190002752,73.19476190002752,None,right,0.6242145999567583,80.29726330001722,None,80.29726330001722,None,80.95084960001986,None,right,0.15348839995567687,80.95084960001986,None,resources\JPG\pencilcase.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
AB,Lag1_T1P_T2A,1,P,A,5,6,4,5,11,Webcam,Did you see the Webcam?,0.5,0.016,JPG\,pictureframe04,stapleremover,straw,adjustablewrench01b,webcam,cane,hairdryer02a,icepack,kiwi01a,lifejacket,piggybank,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,webcam,0,6,6,6,,,,,,,,,,,81.14043140001013,82.1508090000134,82.13432970002759,82.77087260002736,82.77087260002736,None,right,0.3702843999490142,88.34274880000157,None,88.34274880000157,None,88.73390460002702,None,right,0.16174539999337867,88.73390460002702,None,resources\JPG\kiwi01a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,Wheat,Did you see the Wheat?,0.5,0.016,JPG\,bottleopener01,dentalfloss03b,cooler01,icecreamcone01a,cup01,wheat,pencilsharpener02a,plasticbasket01a,toycar04,apricot,hairclip02,rock01a,honeydewmelon,antenna,blackberry,cardboardbox,blankImage,wheat,0,7,7,7,,,,,,,,,,,88.91876250001951,89.9340033000044,89.9174976000213,90.53166150001925,90.53166150001925,None,right,0.4563870999845676,98.75896270002704,None,98.75896270002704,None,99.23358080000617,None,right,0.17507209998439066,99.23358080000617,None,resources\JPG\cup01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,bread,Did you see the bread?,0.5,0.016,JPG\,cleaver01,clipboard,dustpan,hikingshoe01,notebook03a,baguette01,playingcard,pliers02b,raisins,rollingpin01a,swimgoggles,wineglass01,fryingpan02a,safetypin,syringe01,thimble,blankImage,baguette01,0,8,8,8,,,,,,,,,,,99.43348440001137,100.43360600000597,100.41681010002503,101.09606020001229,101.09606020001229,None,right,0.40857459997641854,109.09426450001774,None,109.09426450001774,None,109.5336999000283,None,right,0.17075989994918928,109.5336999000283,None,resources\JPG\raisins.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h08.05.892,ABstudy,2022.1.4,60.01435543483722,
