TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Practice_Trials.thisRepN,Practice_Trials.thisTrialN,Practice_Trials.thisN,Practice_Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Practice_Ins.started,Practice_Ins.stopped,End_Prac_Ins.keys,End_Prac_Ins.rt,End_Prac_Ins.started,End_Prac_Ins.stopped,text_2.started,text_2.stopped,Fixation_Cross_2.started,Fixation_Cross_2.stopped,Rapid_Image_Present_2.started,Rapid_Image_Present_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,T1Response_2.started,T1Response_2.stopped,T2Response_2.started,T2Response_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,missingImage,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,Lag5_T1A_T2P,5,A,P,6,11,5,3,14,dog,Did you see the dog?,0.5,0.016,JPG\,bucket01a,doorlock,cookiecutter,fireextinguisher01,gluestick,highlighter02b,sportbag,spraybottle01,suitcase,thread02,blender,walnut01c,icecubetray01a,toycow,blankImage,blankImage,blankImage,None,0,9,9,9,,,,,,,,,,,112.16436140000587,113.17935510000098,113.16268259999924,113.78923029999714,113.78923029999714,None,right,0.45311149998451583,120.69267849999596,None,120.69267849999596,None,121.16244620000361,None,right,0.19106319997808896,121.16244620000361,None,resources\JPG\toycow.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1A_T2A,1,A,A,8,9,7,3,12,Moose,Did you see the Moose?,0.5,0.016,JPG\,clothespin03b,corkscrew03a,drillbit03a,fusilli03a,needlenosepliers01,perfume01a,pistachio,scrubbingbrush05b,spatula03,toothpaste,toyelephant,toydinosaur,blankImage,blankImage,blankImage,blankImage,blankImage,None,0,10,10,10,,,,,,,,,,,121.38712689999375,122.39578319998691,122.36245650000637,122.98292700000457,122.98292700000457,None,right,0.8205537000030745,129.07195069998852,None,129.07195069998852,None,129.91264799999772,None,right,0.5283690000069328,129.91264799999772,None,resources\JPG\toyelephant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag5_T1A_T2A,5,A,A,6,11,5,5,16,castle,Did you see the castle?,0.5,0.016,JPG\,tape02a,englishmuffin,flask,ladle02a,deskchair01,peach01,plasticflower01a,squeegee01b,telephone01b,whisk,lunchbox01,syringe02,baguette01,bicyclehelmet,box01,coffeepot03a,blankImage,None,0,11,11,11,,,,,,,,,,,130.46734929998638,131.47894159998395,131.46225849998882,132.10516489998554,132.10516489998554,None,right,0.5604348000197206,140.1278009999951,None,140.1278009999951,None,140.71210109998356,None,right,0.17387079997570254,140.71210109998356,None,resources\JPG\box01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.91230979998363,None,space,6.466623899992555,140.91230979998363,None,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,giraffe,Did you see the giraffe?,0.05,0.016,JPG\,pencil01,foosballtable,banana01,lipstick02a,toaster01,grape01,key01,giraffe,blender,pineapple01a,strawberry,teabag,dandelion,paintbrush01,blankImage,blankImage,blankImage,giraffe,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.14092790000723,149.14549880000413,149.12880839998252,149.80609450000338,149.80609450000338,None,150.49718829998164,151.51200339998468,right,0.9998018000042066,150.49718829998164,None,151.52862100000493,None,right,0.12419939998653717,151.52862100000493,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,owl,Did you see the owl?,0.05,0.016,JPG\,paintbrush01,eraser,medal02b,hammer01,speaker04,greathornowl,blender,comb02a,plate01b,clock01a,button01,globe,blankImage,blankImage,blankImage,blankImage,blankImage,greathornowl,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.67863839998608,152.67877870000666,152.67877870000666,153.2796984000015,153.2796984000015,None,153.92698620000738,None,right,0.7202009000175167,153.92698620000738,None,154.6786710000015,None,right,0.23172800001339056,154.6786710000015,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,3,10,handcuffs,Did you see the handcuffs?,0.05,0.016,JPG\,sewingmachine01a,scarf,carrot01,book01b,eraser,handcuffs,blender,lipstick02a,printer02,garlic01a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,handcuffs,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.9303689999797,155.9453288000077,155.92865899999742,156.56706119998125,156.56706119998125,None,157.10925629999838,None,right,0.6298269999970216,157.10925629999838,None,157.7618400999927,None,right,0.198942499991972,157.7618400999927,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,5,13,horse,Did you see the horse?,0.05,0.016,JPG\,watermelon01,pencil01,microscope,blueberry01,computerkeyboard02,lamp04a,horse,blender,sock01a,key01,binoculars01b,cauliflower01,ashtray01,blankImage,blankImage,blankImage,blankImage,horse,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.9785323999822,158.97852659999626,158.9618388999952,159.5967560999852,159.5967560999852,None,160.28422109998064,None,right,0.5092596999893431,160.28422109998064,None,160.8117985999852,None,right,0.1640254000085406,160.8117985999852,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,snowman,Did you see the snowman?,0.05,0.016,JPG\,comb02a,watch02a,scissors01,dice05a,tableknife02,snowman,blender,printer02,dandelion,spoon01,ashtray01,battery02b,blankImage,blankImage,blankImage,blankImage,blankImage,snowman,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.003395000007,162.01181699999142,161.99520740000298,162.61803179999697,162.61803179999697,None,163.22299189999467,None,right,0.3966397999902256,163.22299189999467,None,163.64507389999926,None,right,0.1685713000188116,163.64507389999926,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,5,11,squirrel,Did you see the squirrel?,0.05,0.016,JPG\,pencil01,orange,clock01a,sponge01,squirrel,blender,lipstick02a,strawberry,book01b,mushroom01,envelope03a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,squirrel,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.86066639999626,164.86177560000215,164.84518999999273,165.44295379999676,165.44295379999676,None,166.17803379998077,None,right,0.7090010000101756,166.17803379998077,None,166.9120040999842,None,right,0.21555399999488145,166.9120040999842,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,4,12,zipper,Did you see the zipper?,0.05,0.016,JPG\,sandal,fan,printer02,cellphone,mushroom01,candle08b,zipper,blender,lamp04a,hammer01,teabag,stapler03a,blankImage,blankImage,blankImage,blankImage,blankImage,zipper,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.16130529998918,168.16195469998638,168.1453787999926,168.76441549998708,168.76441549998708,None,169.41180750000058,None,right,0.48953039999469183,169.41180750000058,None,169.92843339999672,None,right,0.16529309999896213,169.92843339999672,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,4,13,bowling ball,Did you see the bowling ball?,0.05,0.016,JPG\,dandelion,pineapple01a,broom01,pen04b,sock01a,sandal,foosballtable,bowlingball,blender,toothbrush03b,celery,candle08b,tennisball01b,blankImage,blankImage,blankImage,blankImage,bowlingball,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1142307999835,171.12837409999338,171.1116975999903,171.71307629998773,171.71307629998773,None,172.3832768999855,None,right,0.6272181000094861,172.3832768999855,None,173.0286572999903,None,right,0.18333390000043437,173.0286572999903,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,4,11,bowling pin,Did you see the bowling pin?,0.05,0.016,JPG\,strawberry,leaf02a,clock04,candle01,avocado01,bowlingpin,blender,brownsugar,ring01,lemon02,fork03c,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,bowlingpin,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.2371332999901,174.24515879998216,174.2119046000007,174.82961459999206,174.82961459999206,None,175.48927389999153,None,right,0.40882030001375824,175.48927389999153,None,175.9290595999919,None,right,0.16376699999091215,175.9290595999919,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,5,11,candy cane,Did you see the candy cane?,0.05,0.016,JPG\,shirt02,match,screw02,foosballtable,candycane01a,blender,sewingmachine01a,watch02a,button01,comb02a,dice05a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,candycane01a,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.1140545999806,177.1283059999987,177.11164829999325,177.72070859998348,177.72070859998348,None,178.27923859999282,None,right,0.46710569999413565,178.27923859999282,None,178.77831999998307,None,right,0.14276889999746345,178.77831999998307,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,3,9,dolphin,Did you see the dolphin?,0.05,0.016,JPG\,coffeemaker,belt02a,rice,screwdriver04b,dolphin01,blender,candle08b,pear01,feather03a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,dolphin01,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.95045489998301,179.9615317999851,179.94490020000376,180.5684452999849,180.5684452999849,None,181.08679860000848,None,right,0.5964111000066623,181.08679860000848,None,181.7114396999823,None,right,0.15943679999327287,181.7114396999823,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,3,9,camel,Did you see the camel?,0.05,0.016,JPG\,iron01b,brick,broccoli01a,balloon01b,dromedary,blender,sandal,teabag,scissors01,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,dromedary,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.89480539999204,182.8948945000011,182.87840699998196,183.48943600000348,183.48943600000348,None,184.06241650000447,None,right,0.4280389999912586,184.06241650000447,None,184.51147440000204,None,right,0.15461749999667518,184.51147440000204,None,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
