TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Distractor1,Distractor2,Distractor3,Distractor4,Distractor5,Distractor6,Distractor7,Distractor8,Distractor9,Distractor10,Distractor11,Distractor12,Distractor13,Distractor14,Distractor15,Distractor16,Practice_Trials.thisRepN,Practice_Trials.thisTrialN,Practice_Trials.thisN,Practice_Trials.thisIndex,Practice_Ins.started,Practice_Ins.stopped,End_Prac_Ins.keys,End_Prac_Ins.rt,End_Prac_Ins.started,End_Prac_Ins.stopped,text_2.started,text_2.stopped,Fixation_Cross_2.started,Fixation_Cross_2.stopped,Rapid_Image_Present_2.started,Rapid_Image_Present_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,T1Response_2.started,T1Response_2.stopped,T2Response_2.started,T2Response_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.70734419999644,None,space,3.4092521000129636,23.70734419999644,None,,,,,,,,,,,,,,,,,,,errorpics4,001,2022-06-15_09h30.02.581,ABstudy,2022.1.4,59.978000076612524,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,giraffe,Did you see the giraffe?,0.05,0.016,JPG\,pencil01,foosballtable,banana01,lipstick02a,toaster01,grape01,key01,giraffe,blender,pineapple01a,strawberry,teabag,dandelion,paintbrush01,blankImage,blankImage,blankImage,giraffe,pencil01,foosballtable,banana01,lipstick02a,toaster01,grape01,key01,medal02b,mushroom01,pineapple01a,strawberry,teabag,dandelion,paintbrush01,brick,sewingmachine01a,0,0,0,0,,,,,,,30.5120093000005,31.525448100001086,31.508875999978045,32.281407799979206,32.281407799979206,None,left,2.2451634000171907,32.86775589999161,None,32.86775589999161,33.87542919997941,35.14231349999318,None,right,0.0963472000148613,35.14231349999318,None,errorpics4,001,2022-06-15_09h30.02.581,ABstudy,2022.1.4,59.978000076612524,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,owl,Did you see the owl?,0.05,0.016,JPG\,paintbrush01,eraser,medal02b,hammer01,speaker04,greathornowl,blender,comb02a,plate01b,clock01a,button01,globe,blankImage,blankImage,blankImage,blankImage,blankImage,greathornowl,paintbrush01,eraser,medal02b,hammer01,speaker04,balloon01b,spoon01,comb02a,plate01b,clock01a,button01,globe,sunglasses04,pen04b,foosballtable,lighter01,0,1,1,1,,,,,,,35.281776099989656,36.29229280000436,36.27572289999807,36.88159099998302,36.88159099998302,None,left,0.9801517000014428,37.61502249998739,None,37.61502249998739,None,38.625705399987055,None,right,0.1002401000005193,38.625705399987055,None,errorpics4,001,2022-06-15_09h30.02.581,ABstudy,2022.1.4,59.978000076612524,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,3,10,handcuffs,Did you see the handcuffs?,0.05,0.016,JPG\,sewingmachine01a,scarf,carrot01,book01b,eraser,handcuffs,blender,lipstick02a,printer02,garlic01a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,handcuffs,sewingmachine01a,scarf,carrot01,book01b,eraser,watermelon01,plate01b,lipstick02a,printer02,garlic01a,envelope03a,binoculars01b,tomato01,candy,comb02a,iron01b,0,2,2,2,,,,,,,38.74880109998048,39.75881559998379,39.72551600000588,40.379985299980035,40.379985299980035,None,left,0.48646179999923334,40.94646169999032,None,40.94646169999032,None,41.458918799995445,None,right,0.07093989997520112,41.458918799995445,None,errorpics4,001,2022-06-15_09h30.02.581,ABstudy,2022.1.4,59.978000076612524,
