TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Distractor1,Distractor2,Distractor3,Distractor4,Distractor5,Distractor6,Distractor7,Distractor8,Distractor9,Distractor10,Distractor11,Distractor12,Distractor13,Distractor14,Distractor15,Distractor16,Practice_Trials.thisRepN,Practice_Trials.thisTrialN,Practice_Trials.thisN,Practice_Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Practice_Ins.started,Practice_Ins.stopped,End_Prac_Ins.keys,End_Prac_Ins.rt,End_Prac_Ins.started,End_Prac_Ins.stopped,text_2.started,text_2.stopped,Fixation_Cross_2.started,Fixation_Cross_2.stopped,Rapid_Image_Present_2.started,Rapid_Image_Present_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,T1Response_2.started,T1Response_2.stopped,T2Response_2.started,T2Response_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,missingPic,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
AB,Lag5_T1A_T2P,5,A,P,6,11,5,3,14,dog,Did you see the dog?,0.5,0.016,JPG\,bucket01a,doorlock,cookiecutter,fireextinguisher01,gluestick,highlighter02b,sportbag,spraybottle01,suitcase,thread02,blender,walnut01c,icecubetray01a,toycow,blankImage,blankImage,blankImage,None,bucket01a,doorlock,cookiecutter,fireextinguisher01,gluestick,highlighter02b,sportbag,spraybottle01,suitcase,thread02,vase02,walnut01c,icecubetray01a,toycow,tupperware03a,bracelet01,0,9,9,9,,,,,,,,,,,115.01365900001838,116.02515150001273,116.00854050001362,116.6444596000074,116.6444596000074,None,right,0.4155836999998428,123.52504840001347,None,123.52504840001347,None,123.95869970001513,None,left,0.08531009999569505,123.95869970001513,None,resources\JPG\toycow.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1A_T2A,1,A,A,8,9,7,3,12,Moose,Did you see the Moose?,0.5,0.016,JPG\,clothespin03b,corkscrew03a,drillbit03a,fusilli03a,needlenosepliers01,perfume01a,pistachio,scrubbingbrush05b,spatula03,toothpaste,toyelephant,toydinosaur,blankImage,blankImage,blankImage,blankImage,blankImage,None,clothespin03b,corkscrew03a,drillbit03a,fusilli03a,needlenosepliers01,perfume01a,pistachio,scrubbingbrush05b,spatula03,toothpaste,toyelephant,toydinosaur,waterbottle01b,highheelshoe01,mechanicalpencil02,relish,0,10,10,10,,,,,,,,,,,124.08025090000592,125.09166820000974,125.07496800000081,125.68329660000745,125.68329660000745,None,right,0.6965263000165578,131.72992760001216,None,131.72992760001216,None,132.45821860001888,None,left,0.08489030000055209,132.45821860001888,None,resources\JPG\toyelephant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag5_T1A_T2A,5,A,A,6,11,5,5,16,castle,Did you see the castle?,0.5,0.016,JPG\,tape02a,englishmuffin,flask,ladle02a,deskchair01,peach01,plasticflower01a,squeegee01b,telephone01b,whisk,lunchbox01,syringe02,baguette01,bicyclehelmet,box01,coffeepot03a,blankImage,None,tape02a,englishmuffin,flask,ladle02a,deskchair01,peach01,plasticflower01a,squeegee01b,telephone01b,whisk,lunchbox01,syringe02,baguette01,bicyclehelmet,box01,coffeepot03a,0,11,11,11,,,,,,,,,,,132.5941505000228,133.6083515000064,133.59159490000457,134.22689350001747,134.22689350001747,None,right,0.35164869998698123,142.24348610002198,None,142.24348610002198,None,142.62480820002384,None,left,0.10266550001688302,142.62480820002384,None,resources\JPG\box01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.75812490002136,None,space,2.1550323000119533,142.75812490002136,None,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,giraffe,Did you see the giraffe?,0.01,0.016,JPG\,pencil01,foosballtable,banana01,lipstick02a,toaster01,grape01,key01,giraffe,blender,pineapple01a,strawberry,teabag,dandelion,paintbrush01,blankImage,blankImage,blankImage,giraffe,pencil01,foosballtable,banana01,lipstick02a,toaster01,grape01,key01,medal02b,mushroom01,pineapple01a,strawberry,teabag,dandelion,paintbrush01,brick,sewingmachine01a,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.31388070000685,149.32468440002413,149.29153090002364,149.9660585000238,149.9660585000238,None,150.07827890000772,None,right,0.8686261000111699,150.07827890000772,None,150.97538600000553,None,right,0.14103780000004917,150.97538600000553,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,owl,Did you see the owl?,0.01,0.016,JPG\,paintbrush01,eraser,medal02b,hammer01,speaker04,greathornowl,blender,comb02a,plate01b,clock01a,button01,globe,blankImage,blankImage,blankImage,blankImage,blankImage,greathornowl,paintbrush01,eraser,medal02b,hammer01,speaker04,balloon01b,spoon01,comb02a,plate01b,clock01a,button01,globe,sunglasses04,pen04b,foosballtable,lighter01,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.14491060000728,152.15811690001283,152.14156190000358,152.73956890002592,152.73956890002592,None,153.01861470000586,None,right,0.045106700010364875,153.01861470000586,None,153.0912626000063,None,right,0.1380267000058666,153.0912626000063,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,3,10,handcuffs,Did you see the handcuffs?,0.01,0.016,JPG\,sewingmachine01a,scarf,carrot01,book01b,eraser,handcuffs,blender,lipstick02a,printer02,garlic01a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,handcuffs,sewingmachine01a,scarf,carrot01,book01b,eraser,watermelon01,plate01b,lipstick02a,printer02,garlic01a,envelope03a,binoculars01b,tomato01,candy,comb02a,iron01b,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2579082000011,154.2581939000229,154.24144090001937,154.89556780000567,154.89556780000567,None,155.04973640001845,None,right,0.4336994999903254,155.04973640001845,None,155.50786830001744,None,right,0.15131459999247454,155.50786830001744,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,5,13,horse,Did you see the horse?,0.01,0.016,JPG\,watermelon01,pencil01,microscope,blueberry01,computerkeyboard02,lamp04a,horse,blender,sock01a,key01,binoculars01b,cauliflower01,ashtray01,blankImage,blankImage,blankImage,blankImage,horse,watermelon01,pencil01,microscope,blueberry01,computerkeyboard02,lamp04a,eraser,clock01a,sock01a,key01,binoculars01b,cauliflower01,ashtray01,fork03c,cymbal,measuringcup01,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.69426330001443,156.70791260001715,156.69118150000577,157.33733160002157,157.33733160002157,None,157.47813680002582,None,right,0.4083900999976322,157.47813680002582,None,157.90789270002278,None,right,0.15047380002215505,157.90789270002278,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,snowman,Did you see the snowman?,0.01,0.016,JPG\,comb02a,watch02a,scissors01,dice05a,tableknife02,snowman,blender,printer02,dandelion,spoon01,ashtray01,battery02b,blankImage,blankImage,blankImage,blankImage,blankImage,snowman,comb02a,watch02a,scissors01,dice05a,tableknife02,sponge01,pencil01,printer02,dandelion,spoon01,ashtray01,battery02b,cherry01,binoculars01b,belt02a,toaster01,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.07759270002134,159.09112880000612,159.0744956000126,159.69997690001037,159.69997690001037,None,159.84524950000923,None,right,0.31097580000641756,159.84524950000923,None,160.1744876000157,None,right,0.15382969999336638,160.1744876000157,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,5,11,squirrel,Did you see the squirrel?,0.01,0.016,JPG\,pencil01,orange,clock01a,sponge01,squirrel,blender,lipstick02a,strawberry,book01b,mushroom01,envelope03a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,squirrel,pencil01,orange,clock01a,sponge01,pear01,broccoli01a,lipstick02a,strawberry,book01b,mushroom01,envelope03a,candy,calculator01,dandelion,lighter01,leaf02a,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.35893740001484,161.37448580001364,161.3577761000197,161.97645430002012,161.97645430002012,None,162.11875570000848,None,right,0.4165463999961503,162.11875570000848,None,162.5577661000134,None,right,0.1469026999839116,162.5577661000134,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,4,12,zipper,Did you see the zipper?,0.01,0.016,JPG\,sandal,fan,printer02,cellphone,mushroom01,candle08b,zipper,blender,lamp04a,hammer01,teabag,stapler03a,blankImage,blankImage,blankImage,blankImage,blankImage,zipper,sandal,fan,printer02,cellphone,mushroom01,candle08b,lipstick02a,celery,lamp04a,hammer01,teabag,stapler03a,globe,computerkeyboard02,comb02a,screw02,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.7489276000124,163.75771460001124,163.74113740000757,164.37185460000183,164.37185460000183,None,164.5216135000228,None,right,0.5291033999819774,164.5216135000228,None,165.07447510000202,None,right,0.1483015000121668,165.07447510000202,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,4,13,bowling ball,Did you see the bowling ball?,0.01,0.016,JPG\,dandelion,pineapple01a,broom01,pen04b,sock01a,sandal,foosballtable,bowlingball,blender,toothbrush03b,celery,candle08b,tennisball01b,blankImage,blankImage,blankImage,blankImage,bowlingball,dandelion,pineapple01a,broom01,pen04b,sock01a,sandal,foosballtable,battery02b,stapler03a,toothbrush03b,celery,candle08b,tennisball01b,lamp04a,pear01,teabag,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.2500153000001,166.2579126000055,166.24135470000328,166.86377500000526,166.86377500000526,None,167.02751020001597,None,right,0.4561186999781057,167.02751020001597,None,167.5077729000186,None,right,0.1523260000103619,167.5077729000186,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,4,11,bowling pin,Did you see the bowling pin?,0.01,0.016,JPG\,strawberry,leaf02a,clock04,candle01,avocado01,bowlingpin,blender,brownsugar,ring01,lemon02,fork03c,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,bowlingpin,strawberry,leaf02a,clock04,candle01,avocado01,paintbrush01,orange,brownsugar,ring01,lemon02,fork03c,scissors01,cauliflower01,tableknife02,tennisball01b,thermometer02b,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.69303940000827,168.7079254000273,168.69132050001645,169.3358102000202,169.3358102000202,None,169.4547180000227,None,right,0.3311812999891117,169.4547180000227,None,169.80765860000974,None,right,0.1536793000122998,169.80765860000974,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,5,11,candy cane,Did you see the candy cane?,0.01,0.016,JPG\,shirt02,match,screw02,foosballtable,candycane01a,blender,sewingmachine01a,watch02a,button01,comb02a,dice05a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,candycane01a,shirt02,match,screw02,foosballtable,blueberry01,pineapple01a,sewingmachine01a,watch02a,button01,comb02a,dice05a,measuringcup01,lipstick02a,printer02,carrot01,watermelon01,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.99284420002368,171.00765970000066,170.99094990000594,171.626631000021,171.626631000021,None,171.77368160002516,None,right,0.3684567000018433,171.77368160002516,None,172.17439910001121,None,right,0.13936569998622872,172.17439910001121,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,3,9,dolphin,Did you see the dolphin?,0.01,0.016,JPG\,coffeemaker,belt02a,rice,screwdriver04b,dolphin01,blender,candle08b,pear01,feather03a,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,dolphin01,coffeemaker,belt02a,rice,screwdriver04b,candle01,apple07,candle08b,pear01,feather03a,match,thermometer02b,printer02,lemon02,violin,medal02b,pineapple01a,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.3522621000011,173.35773060002248,173.34096700002556,173.98582380000153,173.98582380000153,None,174.1133348000003,None,right,0.5162830999761354,174.1133348000003,None,174.65777900000103,None,right,0.16286509999190457,174.65777900000103,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,5,6,4,3,9,camel,Did you see the camel?,0.01,0.016,JPG\,iron01b,brick,broccoli01a,balloon01b,dromedary,blender,sandal,teabag,scissors01,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,dromedary,iron01b,brick,broccoli01a,balloon01b,tomato01,apple07,sandal,teabag,scissors01,pineapple01a,onion,measuringcup01,sock01a,book01b,eraser,calculator01,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.84941400002572,175.85784530002275,175.841278900014,176.48236059999908,176.48236059999908,None,176.6144062000094,None,right,0.5019776000117417,176.6144062000094,None,177.14089170002262,None,right,0.15394399999058805,177.14089170002262,None,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
